id,contract,date,shift,area,block,equipo,bank,project,drill_type,drill_code,hour_from,hour_to,rop,hardness,high
32,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B323,TD072,BK-382,PRODUCCION,DTH,DTH-36,22.04,22.65,34.01,6.4,19.6
33,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B323,TD072,BK-928,PRODUCCION,DTH,DTH-57,23.05,23.93,31.55,6.4,27.0
63,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B215,TD079,BK-544,PRODUCCION,DTH,DTH-63,0.69,2.07,32.5,4.1,42.5
64,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B101,TD079,BK-853,PRODUCCION,DTH,DTH-67,2.43,3.04,29.89,4.1,17.5
65,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B101,TD079,BK-447,PRODUCCION,DTH,DTH-71,3.42,4.57,32.93,4.1,39.4
66,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B206,TD079,BK-157,PRODUCCION,DTH,DTH-53,4.78,5.64,28.36,4.1,23.7
57,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B323,TD079,BK-950,PRODUCCION,DTH,DTH-25,19.86,20.3,29.82,4.1,14.5
58,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B101,TD079,BK-250,PRODUCCION,DTH,DTH-25,20.54,21.2,29.88,4.1,20.0
59,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B206,TD079,BK-232,PRODUCCION,DTH,DTH-44,21.6,22.04,30.9,4.1,11.9
60,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B206,TD079,BK-591,PRODUCCION,DTH,DTH-26,22.49,23.21,28.57,4.1,18.2
61,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,FERROBAMBA,B215,TD079,BK-733,PRODUCCION,DTH,DTH-75,23.27,23.71,32.18,4.1,12.2
62,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,FERROBAMBA,B206,TD079,BK-599,PRODUCCION,DTH,DTH-26,23.77,0.21,33.95,4.1,14.1
73,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,CHALCOBAMBA,B215,TD091,BK-894,PRODUCCION,RTR,RTR-58,1.43,1.93,26.96,4.4,12.9
74,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,CHALCOBAMBA,B215,TD091,BK-617,PRODUCCION,RTR,RTR-90,2.36,3.2,26.01,4.4,20.1
75,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B101,TD091,BK-813,PRODUCCION,RTR,RTR-83,3.48,4.61,28.65,4.4,32.5
76,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B101,TD091,BK-871,PRODUCCION,RTR,RTR-71,4.81,5.42,24.9,4.4,13.7
67,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,CHALCOBAMBA,B206,TD091,BK-358,PRODUCCION,RTR,RTR-25,18.75,19.33,25.38,4.4,16.1
68,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,CHALCOBAMBA,B323,TD091,BK-507,PRODUCCION,RTR,RTR-37,19.7,21.01,28.89,4.4,32.7
69,Mina Bambas Rotativas - Chalcobamba,2026-01-05,B,CHALCOBAMBA,B206,TD091,BK-639,PRODUCCION,RTR,RTR-50,21.19,21.72,27.24,4.4,13.6
70,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B323,TD091,BK-560,PRODUCCION,RTR,RTR-38,21.87,22.69,23.99,4.4,18.2
71,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B215,TD091,BK-549,PRODUCCION,RTR,RTR-19,22.78,23.21,28.8,4.4,11.8
72,Mina Bambas Rotativas - Ferrobamba,2026-01-05,B,CHALCOBAMBA,B206,TD091,BK-164,PRODUCCION,RTR,RTR-27,23.67,0.93,24.06,4.4,26.0
88,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B101,TD072,BK-373,PRODUCCION,DTH,DTH-47,6.7,7.77,30.64,4.7,34.1
89,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B215,TD072,BK-372,PRODUCCION,DTH,DTH-95,8.05,8.65,27.34,4.7,15.6
90,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B206,TD072,BK-166,PRODUCCION,DTH,DTH-27,8.83,9.3,30.91,4.7,14.7
91,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B323,TD072,BK-694,PRODUCCION,DTH,DTH-51,9.37,10.28,29.17,4.7,27.6
92,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B215,TD072,BK-976,PRODUCCION,DTH,DTH-79,10.44,11.17,29.5,4.7,21.4
93,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B323,TD072,BK-615,PRODUCCION,DTH,DTH-84,11.48,12.08,26.38,4.7,14.0
94,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B215,TD072,BK-642,PRODUCCION,DTH,DTH-49,12.14,13.34,26.12,4.7,33.1
95,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B323,TD072,BK-946,PRODUCCION,DTH,DTH-15,13.69,15.09,30.94,4.7,43.0
96,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B215,TD072,BK-814,PRODUCCION,DTH,DTH-17,15.58,16.44,29.95,4.7,27.3
97,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B215,TD072,BK-823,PRODUCCION,DTH,DTH-29,16.69,17.92,26.98,4.7,36.2
107,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B101,TD073,BK-315,PRODUCCION,DTH,DTH-61,7.82,8.52,31.51,7.8,19.6
108,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B101,TD073,BK-229,PRODUCCION,DTH,DTH-36,8.74,9.92,27.53,7.8,29.7
109,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B323,TD073,BK-110,PRODUCCION,DTH,DTH-83,10.25,11.33,29.86,7.8,29.4
110,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B323,TD073,BK-317,PRODUCCION,DTH,DTH-22,11.51,12.1,29.16,7.8,15.8
111,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B323,TD073,BK-455,PRODUCCION,DTH,DTH-77,12.19,12.64,28.16,7.8,13.2
112,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B206,TD073,BK-150,PRODUCCION,DTH,DTH-38,13.04,13.42,30.5,7.8,11.9
113,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B101,TD073,BK-445,PRODUCCION,DTH,DTH-45,13.49,14.72,32.04,7.8,34.8
114,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B215,TD073,BK-760,PRODUCCION,DTH,DTH-56,14.8,16.12,31.8,7.8,41.0
115,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B215,TD073,BK-674,PRODUCCION,DTH,DTH-34,16.16,16.87,31.4,7.8,18.8
136,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B206,TD076,BK-600,PRODUCCION,DTH,DTH-82,6.58,7.45,26.51,7.0,21.6
137,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B101,TD076,BK-138,PRODUCCION,DTH,DTH-44,7.5,8.62,25.98,7.0,29.6
138,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B323,TD076,BK-374,PRODUCCION,DTH,DTH-53,9.03,10.22,27.02,7.0,29.5
139,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B215,TD076,BK-111,PRODUCCION,DTH,DTH-71,10.63,11.99,27.51,7.0,38.3
140,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B206,TD076,BK-809,PRODUCCION,DTH,DTH-81,12.47,13.62,26.73,7.0,31.9
141,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B206,TD076,BK-146,PRODUCCION,DTH,DTH-41,13.76,14.62,24.55,7.0,23.3
142,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B215,TD076,BK-881,PRODUCCION,DTH,DTH-88,14.98,16.3,24.34,7.0,31.9
143,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B101,TD076,BK-693,PRODUCCION,DTH,DTH-48,16.65,17.32,28.21,7.0,20.4
144,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B215,TD076,BK-719,PRODUCCION,DTH,DTH-69,17.55,18.45,26.75,7.0,24.3
154,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B206,TD077,BK-880,PRODUCCION,DTH,DTH-98,7.27,8.14,29.9,5.3,27.8
155,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B215,TD077,BK-640,PRODUCCION,DTH,DTH-18,8.44,9.4,24.98,5.3,25.6
156,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B101,TD077,BK-494,PRODUCCION,DTH,DTH-68,9.44,10.69,24.68,5.3,28.6
157,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B206,TD077,BK-553,PRODUCCION,DTH,DTH-46,10.84,11.46,24.51,5.3,15.4
158,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B101,TD077,BK-323,PRODUCCION,DTH,DTH-71,11.58,12.65,24.9,5.3,28.2
159,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B101,TD077,BK-848,PRODUCCION,DTH,DTH-42,12.96,14.17,26.37,5.3,32.7
160,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,FERROBAMBA,B323,TD077,BK-780,PRODUCCION,DTH,DTH-22,14.61,15.8,28.06,5.3,35.4
161,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,FERROBAMBA,B323,TD077,BK-106,PRODUCCION,DTH,DTH-14,16.22,17.31,28.18,5.3,30.6
171,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B323,TD091,BK-159,PRODUCCION,RTR,RTR-55,7.8,8.9,27.18,5.0,29.0
172,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B323,TD091,BK-298,PRODUCCION,RTR,RTR-12,9.02,9.47,24.98,5.0,10.7
173,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B206,TD091,BK-626,PRODUCCION,RTR,RTR-34,9.87,10.53,29.05,5.0,20.9
174,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B206,TD091,BK-930,PRODUCCION,RTR,RTR-95,10.55,11.53,27.42,5.0,24.5
175,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B101,TD091,BK-171,PRODUCCION,RTR,RTR-30,11.83,12.46,28.44,5.0,16.7
176,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B215,TD091,BK-400,PRODUCCION,RTR,RTR-98,12.51,13.28,26.74,5.0,20.4
177,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B101,TD091,BK-500,PRODUCCION,RTR,RTR-85,13.71,14.88,24.37,5.0,27.6
178,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B101,TD091,BK-813,PRODUCCION,RTR,RTR-49,15.37,15.87,26.84,5.0,13.5
179,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B206,TD091,BK-688,PRODUCCION,RTR,RTR-35,15.89,16.59,26.94,5.0,16.3
180,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B215,TD091,BK-205,PRODUCCION,RTR,RTR-53,16.8,17.29,27.21,5.0,13.6
181,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B101,TD091,BK-458,PRODUCCION,RTR,RTR-41,17.36,18.38,27.95,5.0,24.4
192,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B323,TD092,BK-775,PRODUCCION,RTR,RTR-54,7.1,8.35,22.63,5.6,28.2
193,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B206,TD092,BK-704,PRODUCCION,RTR,RTR-19,8.48,9.08,27.02,5.6,15.5
194,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B101,TD092,BK-412,PRODUCCION,RTR,RTR-73,9.42,9.92,24.84,5.6,12.5
195,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B101,TD092,BK-404,PRODUCCION,RTR,RTR-53,10.12,10.86,25.62,5.6,18.0
196,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B206,TD092,BK-433,PRODUCCION,RTR,RTR-11,11.1,12.36,25.39,5.6,31.4
197,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B206,TD092,BK-584,PRODUCCION,RTR,RTR-68,12.44,13.03,22.85,5.6,13.7
198,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B206,TD092,BK-315,PRODUCCION,RTR,RTR-52,13.2,14.08,22.79,5.6,17.8
199,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B215,TD092,BK-526,PRODUCCION,RTR,RTR-59,14.11,14.8,27.47,5.6,18.8
200,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B323,TD092,BK-845,PRODUCCION,RTR,RTR-17,14.98,15.89,23.22,5.6,18.6
201,Mina Bambas Rotativas - Ferrobamba,2026-01-06,A,CHALCOBAMBA,B215,TD092,BK-185,PRODUCCION,RTR,RTR-56,16.38,16.83,25.96,5.6,11.2
202,Mina Bambas Rotativas - Chalcobamba,2026-01-06,A,CHALCOBAMBA,B206,TD092,BK-244,PRODUCCION,RTR,RTR-35,17.18,18.41,27.33,5.6,34.3
81,Mina Bambas Rotativas - Ferrobamba,2026-01-06,B,CHALCOBAMBA,B206,TD030,BK-846,PRODUCCION,DTH,DTH-52,0.65,1.48,30.98,8.1,25.1
82,Mina Bambas Rotativas - Ferrobamba,2026-01-06,B,CHALCOBAMBA,B215,TD030,BK-473,PRODUCCION,DTH,DTH-25,1.62,2.05,26.17,8.1,9.9
83,Mina Bambas Rotativas - Ferrobamba,2026-01-06,B,CHALCOBAMBA,B215,TD030,BK-192,PRODUCCION,DTH,DTH-41,2.38,2.92,27.4,8.1,15.9
84,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,CHALCOBAMBA,B206,TD030,BK-928,PRODUCCION,DTH,DTH-31,3.02,3.57,25.67,8.1,12.6
85,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,CHALCOBAMBA,B101,TD030,BK-177,PRODUCCION,DTH,DTH-54,3.64,4.11,28.05,8.1,12.1
86,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,CHALCOBAMBA,B206,TD030,BK-206,PRODUCCION,DTH,DTH-72,4.29,4.73,28.16,8.1,12.9
87,Mina Bambas Rotativas - Ferrobamba,2026-01-06,B,CHALCOBAMBA,B101,TD030,BK-791,PRODUCCION,DTH,DTH-88,4.93,5.29,30.35,8.1,9.3
77,Mina Bambas Rotativas - Ferrobamba,2026-01-06,B,CHALCOBAMBA,B215,TD030,BK-306,PRODUCCION,DTH,DTH-94,19.95,20.39,29.92,8.1,13.2
78,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,CHALCOBAMBA,B206,TD030,BK-405,PRODUCCION,DTH,DTH-91,20.72,21.92,30.55,8.1,36.7
79,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,CHALCOBAMBA,B101,TD030,BK-434,PRODUCCION,DTH,DTH-39,22.13,22.93,30.56,8.1,23.2
80,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,CHALCOBAMBA,B101,TD030,BK-429,PRODUCCION,DTH,DTH-26,23.25,0.51,30.81,8.1,34.3
102,Mina Bambas Rotativas - Ferrobamba,2026-01-06,B,FERROBAMBA,B101,TD072,BK-950,PRODUCCION,DTH,DTH-87,0.02,1.16,31.35,6.4,37.7
103,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,FERROBAMBA,B323,TD072,BK-394,PRODUCCION,DTH,DTH-23,1.43,2.16,31.81,6.4,21.9
104,Mina Bambas Rotativas - Ferrobamba,2026-01-06,B,FERROBAMBA,B101,TD072,BK-244,PRODUCCION,DTH,DTH-75,2.61,3.61,29.81,6.4,28.8
105,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,FERROBAMBA,B215,TD072,BK-490,PRODUCCION,DTH,DTH-60,3.89,5.2,30.31,6.4,34.7
106,Mina Bambas Rotativas - Chalcobamba,2026-01-06,B,FERROBAMBA,B206,TD072,BK-330,PRODUCCION,DTH,DTH-36,5.38,5.87,31.32,6.4,15.6
